,Algorithm,board_index,K,generated_nodes,average_time,total_steps,sol_len
106,BFS,2,7,2965,0.01378306700000337,155,12
107,BFS,2,8,2965,0.013658880999996938,136,12
108,BFS,2,9,2956,0.011067799000001911,121,12
109,BFS,2,10,2977,0.010090080000017423,110,12
110,BFS,2,11,2965,0.009557735000007313,100,12
111,BFS,2,12,2965,0.00904475199998899,92,12
112,BFS,2,13,2956,0.008321243999997705,85,12
113,BFS,2,14,2989,0.008313108000020577,80,12
114,BFS,2,15,2992,0.007570719000002271,75,12
115,BFS,2,16,2965,0.007184173999984012,70,12
116,BFS,2,17,2956,0.006527091000000382,66,12
117,BFS,2,18,2977,0.006406478999998058,63,12
118,BFS,2,19,2980,0.006316934000001879,60,12
119,BFS,2,20,2965,0.0058231250000184785,57,12
120,BFS,2,21,2992,0.00576547400001516,55,12
121,BFS,2,22,3007,0.005734563999993725,53,12
122,BFS,2,23,3010,0.005727731999999435,51,12
123,BFS,2,24,3001,0.0061456729999886765,49,12
124,BFS,2,25,2980,0.005644944000000294,47,12
125,BFS,2,26,3025,0.005869169000014267,46,12
126,BFS,2,27,2983,0.00491918299998531,44,12
127,BFS,2,28,3013,0.005045101000018235,43,12
128,BFS,2,29,3037,0.00503828499999372,42,12
129,BFS,2,30,2965,0.004681038000023818,40,12
130,BFS,2,31,2974,0.005002229999992665,39,12
131,BFS,2,32,2977,0.00473069200001703,38,12
132,BFS,2,33,2974,0.004813714999995114,37,12
133,BFS,2,34,2965,0.004391769999999156,36,12
134,BFS,2,35,3055,0.004297816000017178,36,12
135,BFS,2,36,3037,0.0042383510000200885,35,12
136,BFS,2,37,3013,0.004043469999990066,34,12
137,BFS,2,38,2983,0.004063515000009943,33,12
138,BFS,2,39,3064,0.004572547999993048,33,12
139,BFS,2,40,3025,0.004532657999990306,32,12
140,BFS,2,41,2977,0.0038222120000000357,31,12
141,BFS,2,42,3049,0.004278421000011576,31,12
142,BFS,2,43,2992,0.004019071000007557,30,12
143,BFS,2,44,3061,0.004071430000008718,30,12
144,BFS,2,45,2995,0.004014864000006355,29,12
145,BFS,2,46,3061,0.00393166200001076,29,12
146,BFS,2,47,2986,0.0035686920000068765,28,12
147,BFS,2,48,3049,0.003628238000012516,28,12
148,BFS,2,49,2965,0.0034550849999993717,27,12
149,BFS,2,50,3025,0.003778464000004078,27,12
150,A_star,0,1,16,0.0002683719999936329,5,5
151,A_star,0,2,26,0.000284919000000059,5,5
152,A_star,0,3,37,0.00027896500000281323,5,5
153,A_star,0,4,49,0.00026696200000458247,5,5
154,A_star,0,5,60,0.0002921030000049996,5,5
155,A_star,0,6,70,0.00029297900000699426,5,5
156,A_star,0,7,79,0.00029446900000777986,5,5
157,A_star,0,8,88,0.00028605999999626875,5,5
158,A_star,0,9,93,0.0002952060000058054,5,5
159,A_star,0,10,97,0.00029117299999825263,5,5
160,A_star,0,11,101,0.00030303600000706864,5,5
161,A_star,0,12,105,0.0003040769999938675,5,5
162,A_star,0,13,109,0.00028429699999151127,5,5
163,A_star,0,14,113,0.00028054300000235344,5,5
164,A_star,0,15,117,0.00029865800001175556,5,5
165,A_star,0,16,123,0.0002844360000005963,5,5
166,A_star,0,17,129,0.0002968230000044514,5,5
167,A_star,0,18,135,0.0003098260000069786,5,5
168,A_star,0,19,141,0.0003406980000033855,5,5
169,A_star,0,20,147,0.0003203650000085645,5,5
170,A_star,0,21,153,0.00030654200000526546,5,5
171,A_star,0,22,158,0.0003414259999959768,5,5
172,A_star,0,23,165,0.0003002080000061369,5,5
173,A_star,0,24,172,0.00029079500000648293,5,5
174,A_star,0,25,175,0.00034199799999043987,5,5
175,A_star,0,26,178,0.00032686999999555157,5,5
176,A_star,0,27,181,0.0003402049999897372,5,5
177,A_star,0,28,184,0.00033214300000338425,5,5
178,A_star,0,29,187,0.0003983210000012605,5,5
179,A_star,0,30,190,0.000395335999994586,5,5
180,A_star,0,31,193,0.00035647100000346654,5,5
181,A_star,0,32,196,0.00039861599999710504,5,5
182,A_star,0,33,199,0.0003051400000015292,5,5
183,A_star,0,34,202,0.000312011000005441,5,5
184,A_star,0,35,205,0.0003121120000008659,5,5
185,A_star,0,36,208,0.0003185559999894849,5,5
186,A_star,0,37,211,0.0003070419999971818,5,5
187,A_star,0,38,214,0.00032113900000638293,5,5
188,A_star,0,39,217,0.0003417909999961921,5,5
189,A_star,0,40,220,0.00030390499999782605,5,5
190,A_star,0,41,223,0.0003144269999938842,5,5
191,A_star,0,42,226,0.00031430700000498744,5,5
192,A_star,0,43,229,0.00032135399999788205,5,5
193,A_star,0,44,232,0.0003183539999974982,5,5
194,A_star,0,45,235,0.00030897399999105343,5,5
195,A_star,0,46,238,0.00030584700000019894,5,5
196,A_star,0,47,241,0.00032195800000295094,5,5
197,A_star,0,48,244,0.000310310999997796,5,5
198,A_star,0,49,247,0.0003775050000029978,5,5
199,A_star,0,50,250,0.00031984000000591096,5,5
200,A_star,1,1,51,0.0007986569999883386,18,9
201,A_star,1,2,60,0.0005780879999917943,11,9
